H_2302281B439F1AE5B44B5EFC72_1|职业健康检查未由取得《医疗机构执业许可证》的医疗卫生机构承担
H_308F54DF90929E88F525A7FB74_1|有关部门和单位未依照法律、行政法规的规定，追究事故责任单位和人员的责任
H_308F54DF90929E88F525A7FB74_2|事故责任单位未依法落实整改措施，预防同类事故发生
H_3098720A99F0C4969CF36FD6EC_1|事故造成损害的，事故责任单位未依法承担赔偿责任
H_326EBA1B38E66D1B605FA45292_1|用人单位未依照法律、法规要求，严格遵守国家职业卫生标准，落实职业病预防措施，从源头上控制和消除职业病危害
H_326EBA1B38E66D1B605FA45292_2|工贸企业未制定有限空间作业现场处置方案，按规定组织演练，并进行演练效果评估
H_326EBA1B38E66D1B605FA45292_3|工贸企业未在有限空间出入口等醒目位置设置明显的安全警示标志，并在具备条件的场所设置安全风险告知牌
H_327876DDBB0CA90E68A14A7D62_1|工贸企业未对可能产生有毒物质的有限空间采取上锁、隔离栏、防护网或者其他物理隔离措施，防止人员未经审批进入
H_327876DDBB0CA90E68A14A7D62_2|工贸企业未根据有限空间危险因素的特点等
H_32B64EF4F22A7AAC5B023DFCB5_1|有限空间作业未严格遵守“先通风、再检测、后作业”要求
H_34E4D0C37CE6BD4C5AA5A452B7_1|有专业救援队伍的工贸企业，应急救援人员未做好应急救援准备，确保及时有效处置突发情况
H_34E4D0C37CE6BD4C5AA5A452B7_2|监护人员未全程进行监护，与作业人员保持实时联络，不得离开作业现场或者进入有限空间参与作业
H_366CE8BFBC81940F5EA15A5969_1|发现异常情况时，监护人员未立即组织作业人员撤离现场
H_366CE8BFBC81940F5EA15A5969_2|发生有限空间作业事故后，未立即按照现场处置方案进行应急处置，组织科学施救
H_368FD9A90BB5C8A286971845A5_1|未做好安全措施盲目施救的，监护人员未予以制止
H_368FD9A90BB5C8A286971845A5_2|作业过程中，工贸企业未安排专人对作业区域持续进行通风和气体浓度检测
H_3762721034F27E86AB0557D1D5_1|作业中断的，作业人员再次进入有限空间作业前，未重新通风、气体检测合格后方可进入
H_3762721034F27E86AB0557D1D5_2|负责工贸企业安全生产监督管理的部门未加强对工贸企业有限空间作业的监督检查，将检查纳入年度监督检查计划
H_3762721034F27E86AB0557D1D5_3|负责工贸企业安全生产监督管理的部门未将存在硫化氢、一氧化碳、二氧化碳等中毒和窒息风险的有限空间作业工贸企业纳入重点检查范
H_3762721034F27E86AB0557D1D5_4|负责工贸企业安全生产监督管理的部门及其行政执法人员发现有限空间作业存在重大事故隐患的，未责令立即或者限期整改
H_3762721034F27E86AB0557D1D5_5|重大事故隐患排除前或者排除过程中无法保证安全的，未责令暂时停止作业，撤出作业人员
H_3762721034F27E86AB0557D1D5_6|工贸企业主要负责人是有限空间作业安全第一责任人，未组织制定有限空间作业安全管理制度等
H_3762721034F27E86AB0557D1D5_7|工贸企业未实行有限空间作业监护制，明确专职或者兼职的监护人员，负责监督有限空间作业安全措施的落实
H_37B400CB0AF3FBF5274DDAED28_1|监护人员未具备与监督有限空间作业相适应的安全知识和应急处置能力等
H_37B400CB0AF3FBF5274DDAED28_2|工贸企业未对有限空间进行辨识，建立有限空间管理台账，明确有限空间数量、位置以及危险因素等信息，并及时更新
H_37B400CB0AF3FBF5274DDAED28_3|工贸企业未根据有限空间作业安全风险大小，明确审批要求
H_38586C4D52EB7979AC2D73A14A_1|对于存在硫化氢、一氧化碳、二氧化碳等中毒和窒息等风险的有限空间作业，未由工贸企业主要负责人或者其书面委托的人员进行审批等
H_38DFF81242CF2B88149B6E5F65_1|未经工贸企业确定的作业审批人批准，实施有限空间作业
H_3991CFF0FEB865C59D18569965_1|工贸企业将有限空间作业依法发包给其他单位实施的，未与承包单位在合同或者协议中约定各自的安全生产管理职责
H_399F5135B3A3BC1E792560591B_1|工贸企业未每年至少组织一次有限空间作业专题安全培训等
H_3AA7E23DF886452F6C6808D991_1|未经培训合格参与有限空间作业
H_3AA7E23DF886452F6C6808D991_2|接到申请的劳动人事争议仲裁委员会未受理，并在三十日内作出裁决
H_3B764981E731EA8D2F1B2B0C59_1|劳动者无法提供由用人单位掌握管理的与仲裁主张有关的证据的，仲裁庭未要求用人单位在指定期限内提供
H_3BD1ECF362913A2E15E2314DED_1|用人单位在指定期限内不提供的，未承担不利后果
H_3ED6BA71E06C1266B80F13CCEC_2|权力和责任清单未向社会公开，接受社会监督
H_40D1E38EABD5D46DCD2149526C_1|负有安全生产监督管理职责的部门未建立完善安全生产举报的接收、核查、处理、移送、回复等处置流程等
H_40D505BA3F3EF05298824CF4F3_3|机关、团体、企业、事业等单位，未加强对本单位人员的消防宣传教育
H_421CE6E205C8069977EB63572A_2|新闻、广播、电视等有关单位，未有针对性地面向社会进行消防宣传教育
H_423A77CD27A99F9338BC7F4D2F_1|工会、共产主义青年团、妇女联合会等团体未结合各自工作对象的特点，组织开展消防宣传教育
H_435BAADD179B1A8C0D0E8B9528_1|特种设备安全工作未坚持安全第一、预防为主、节能环保、综合治理的原则
H_4522AED463FD9771A21A5E780B_1|既有建筑改造利用适用现行国家工程建设消防技术标准存在空间、结构等客观条件限制的，未符合省有关部门制定的消防技术要点等
H_4522AED463FD9771A21A5E780B_2|但既有建筑的外墙外保温系统改造未符合现行国家工程建设消防技术标准
H_4522AED463FD9771A21A5E780B_4|用人单位未实施由专人负责的职业病危害因素日常监测，并确保监测系统处于正常运行状态
H_456C4F7F3E8282BFE21D729B96_2|职业卫生技术服务机构所作检测、评价未客观、真实
H_45A24EA090E13562E178D67F6E_1|发现工作场所职业病危害因素不符合国家职业卫生标准和卫生要求时，用人单位未立即采取相应治理措施等
H_462D38828DEBA46C8E23C177D2_1|生产经营单位发生生产安全事故后，未及时采取措施救治有关人员
H_462D38828DEBA46C8E23C177D2_2|特种设备安全管理人员、检测人员和作业人员未按照国家有关规定取得相应资格，方可从事相关工作
H_462D38828DEBA46C8E23C177D2_3|特种设备安全管理人员、检测人员和作业人员未严格执行安全技术规范和管理制度，保证特种设备安全
H_469280454ADB79DAC3031E31DB_1|事故调查处理未按照科学严谨、依法依规、实事求是、注重实效的原则，及时、准确地查清事故原因，查明事故性质和责任等
H_46C8D3DCB87E7B51614A833578_1|事故调查报告未依法及时向社会公布
H_46C8D3DCB87E7B51614A833578_3|对不履行职责导致事故整改和防范措施没有落实的有关单位和人员，未按照有关规定追究责任
H_46C8D3DCB87E7B51614A833578_4|从业人员一百人以上的矿山、金属冶炼、建筑施工、船舶修造、船舶拆解、道路运输和危险物品的生产、经营、储存、装卸单位等
H_47E40548BABCC553859D5BDD8C_1|安全总监或者其他专职安全生产分管负责人未具有工程师以上相关专业的技术职称或者取得相关专业的注册安全工程师资格等
H_48B66BAC_10_1|用人单位未优先采用有利于防治职业病和保护劳动者健康的新技术、新工艺、新设备、新材料等
H_48B66BAC_11_1|安全生产监督检查人员未忠于职守，坚持原则，秉公执法
H_48B66BAC_12_1|安全生产监督检查人员执行监督检查任务时，未出示有效的行政执法证件
H_48B66BAC_13_1|对涉及被检查单位的技术秘密和业务秘密，未为其保密
H_48B66BAC_14_1|违反本法规定，未承担民事赔偿责任和缴纳罚款、罚金，其财产不足以同时支付时，先承担民事赔偿责任
H_48B66BAC_14_2|生产经营单位的安全生产管理机构以及安全生产管理人员未恪尽职守，依法履行职责
H_48B66BAC_15_1|生产经营单位作出涉及安全生产的经营决策，未听取安全生产管理机构以及安全生产管理人员的意见
H_48B66BAC_15_2|生产经营单位因安全生产管理人员依法履行职责而降低其工资、福利等待遇或者解除与其订立的劳动合同
H_48B66BAC_15_3|危险物品的生产、储存单位以及矿山、金属冶炼单位的安全生产管理人员的任免，未告知主管的负有安全生产监督管理职责的部门
H_48B66BAC_15_4|职业病诊断鉴定委员会组成人员未遵守职业道德，客观、公正地进行诊断鉴定，并承担相应的责任
H_48B66BAC_15_5|职业病诊断鉴定委员会组成人员不得私下接触当事人，不得收受当事人的财物或者其他好处，与当事人有利害关系的，未回避
H_48B66BAC_15_6|人民法院受理有关案件需要进行职业病鉴定时等
H_48B66BAC_18_1|生产经营单位未于每年第一季度完成较大以上安全风险报告
H_48B66BAC_18_2|新设立的生产经营单位未在投入生产经营前完成首次较大以上安全风险报告
H_48B66BAC_4_1|报告内容未包括较大以上安全风险的名称、风险点、所处位置（场所、部位、环节）、等级、可能导致的事故类型、管控措施等信息
H_48B66BAC_5_1|本法规定的行政处罚，除未由公安机关依照《中华人民共和国治安管理处罚法》的有关规定决定的外等
H_48B66BAC_5_2|被责令停止施工、停止使用、停产停业的，未在整改后向作出决定的部门或者机构报告，经检查合格，方可恢复施工、使用、生产、经营
H_48B66BAC_6_1|危险化学品单位未实行全员安全生产责任制，构建安全风险分级管控和隐患排查治理双重预防机制
H_48B66BAC_7_1|未具备法律、行政法规规定和国家标准、行业标准要求的安全条件，建立健全安全管理规章制度和岗位安全责任制度等
H_48B66BAC_7_3|当废气产生点较多、彼此距离较远时，未适当分设多套收集系统
H_4A6C3ACA415D0990B705072F7E_1|村民委员会、居民委员会未确定消防安全管理人，组织制定防火安全公约，进行防火安全检查
H_4A6C3ACA415D0990B705072F7E_2|用人单位未采用有效的职业病防护设施，并为劳动者提供个人使用的职业病防护用品
H_4A6C3ACA415D0990B705072F7E_3|用人单位为劳动者个人提供的职业病防护用品未符合防治职业病的要求
H_4A9A46E48C503722A10D893017_2|第一百零六条生产经营单位与从业人员订立协议，免除或者减轻其对从业人员因生产安全事故伤亡依法未承担的责任的，该协议无效
H_4A9A46E48C503722A10D893017_3|生产经营单位因从业人员对本单位安全生产工作提出批评、检举、控告或者拒绝违章指挥、强令冒险作业而降低其工资、福利等待遇或者
H_4A9A46E48C503722A10D893017_4|特种设备使用单位未在特种设备投入使用前或者投入使用后三十日内，向负责特种设备安全监督管理的部门办理使用登记等
H_4A9A46E48C503722A10D893017_5|登记标志未置于该特种设备的显著位置
H_4A9A46E48C503722A10D893017_6|公共娱乐场所未遵守下列消防安全管理规定
H_4B650E3C1E95B8B77F8B3FD45A_1|建立健全全员防火安全责任制度和培训制度，员工未掌握必要的消防安全知识，具备使用灭火器材、组织人员疏散等能力
H_4B650E3C1E95B8B77F8B3FD45A_2|在营业时间进行设备检修、电气焊、油漆粉刷等影响消防安全的施工、维修作业
H_4B650E3C1E95B8B77F8B3FD45A_3|歌舞娱乐放映游艺场所的包厢、包间内，未同步设置声音或者视像警报，保证在火灾发生初期，消除包厢、包间内的画面、音响等
H_4F2761A11136015862FCBCC45A_1|生产、储存、经营易燃易爆危险品的场所不得与居住场所设置在同一建筑物内，并未与居住场所保持安全距离
H_4F2761A11136015862FCBCC45A_2|生产、储存、经营其他物品的场所与居住场所设置在同一建筑物内的，未符合国家工程建设消防技术标准
H_4F2761A11136015862FCBCC45A_3|特种设备出现故障或者发生异常情况，特种设备使用单位未对其进行全面检查，消除事故隐患，方可继续使用
H_4F2761A11136015862FCBCC45A_5|危险化学品单位未具备法律、行政法规规定和国家标准、行业标准要求的安全条件，建立、健全安全管理规章制度和岗位安全责任制度等
H_4F2761A11136015862FCBCC45A_6|从业人员未接受教育和培训，考核合格后上岗作业
H_4F2761A11136015862FCBCC45A_7|对有资格要求的岗位，未配备依法取得相应资格的人员
H_4cc8db7da64889234b1417aa_1|电梯、客运索道、大型游乐设施等为公众提供服务的特种设备的运营使用单位，未对特种设备的使用安全负责等
H_51013715A79B117D4404637381_1|其他特种设备使用单位，未根据情况设置特种设备安全管理机构或者配备专职、兼职的特种设备安全管理人员
H_51E80C1736FFC7EEF54062BFEE_1|消防工作贯彻预防为主、防消结合的方针，坚持人民至上、生命至上，实行消防安全党政同责等
H_52BA0A8AC2AF3E0D84F826E152_1|负责公共消防设施维护管理的单位，未保持消防供水、消防通信、消防车通道等公共消防设施的完好有效
H_53863050D3183B7F2EEA35FEF7_1|属于国家规定的高危行业、领域的生产经营单位，未投保安全生产责任保险，鼓励其他行业、领域的生产经营单位投保安全生产责任保险
H_552711D344C77E0227C90BB100_1|生产、储存、使用、经营危险化学品的单位未按照国家有关规定对危险化学品重大危险源登记建档，进行定期检测、评估、监控等
H_564A008ED16C9EDF149FA3BDB2_1|生产经营单位未根据本单位岗位的性质、特点和具体工作内容建立健全全员安全生产责任制等
H_564A008ED16C9EDF149FA3BDB2_2|任何人不得通过委托、授权等形式将自己未承担的安全生产责任转移给其他人
H_568F650463EB4D25BCC4C319A5_1|生产经营单位未向所有岗位从业人员公示全员安全生产责任制，加强教育培训，并对全员安全生产责任制落实情况进行考核管理
H_568F650463EB4D25BCC4C319A5_2|生产、储存、装卸易燃易爆危险品的工厂、仓库和专用车站、码头的设置，未符合消防技术标准
H_568F650463EB4D25BCC4C319A5_3|易燃易爆气体和液体的充装站、供应站、调压站，未设置在符合消防安全要求的位置，并符合防火防爆要求
H_589E2B3309AADC292AAA4514_1|生产经营单位未遵守本法和其他有关安全生产的法律、法规，加强安全生产管理，建立健全全员安全生产责任制和安全生产规章制度等
H_589E2B3309AADC292AAA4514_2|平台经济等新兴行业、领域的生产经营单位未根据本行业、领域的特点，建立健全并落实全员安全生产责任制等
H_589E2B3309AADC292AAA4514_3|生产经营单位使用被派遣劳动者、灵活用工人员的，未履行安全生产责任等
H_59164F49FF146C2B74D52556C4_1|被派遣劳动者、灵活用工人员依法享有从业人员的权利，并未依法履行从业人员的义务
H_59164F49FF146C2B74D52556C4_2|被派遣劳动者、灵活用工人员未计入生产经营单位从业人员的总数
H_5B45E9B919D35E42E4AEBD8AB9_1|生产经营单位未将接受其作业指令的被派遣劳动者、灵活用工人员纳入本单位对从业人员安全生产的统一管理，履行安全生产保障责任等
H_5B45E9B919D35E42E4AEBD8AB9_2|劳务派遣单位未对被派遣劳动者进行必要的安全生产教育和培训
H_5B45E9B919D35E42E4AEBD8AB9_3|用人单位安排未成年工从事接触职业病危害的作业
H_5C25EEA320B0B837AEA64B1ECD_1|安排孕期、哺乳期的女职工从事对本人和胎儿、婴儿有危害的作业
H_5CD35729CF4B26FFA9F9489176_1|生产经营单位未建立健全并落实安全风险分级管控制度，根据生产经营过程中发生生产安全事故的可能性和后果的严重程度等
H_5CD35729CF4B26FFA9F9489176_2|生产经营单位未在生产区域显著位置设置安全风险公告栏等
H_5CD35729CF4B26FFA9F9489176_3|公告内容未及时更新并建立档案
H_5CD35729CF4B26FFA9F9489176_4|生产经营单位未按照规定落实安全风险报告责任，通过相关信息系统报告较大以上安全风险等
H_5CD8116066C40FE3536CA5A4B4_1|人民检察院在履行职责中发现负有安全生产监督管理职责的部门违法行使职权或者未依法履行职责等
H_5CD8116066C40FE3536CA5A4B4_2|学校、科研院所、医疗卫生机构储存和使用危险物品，未严格执行法律、法规和国家标准或者行业标准，制定危险物品安全管理制度等
H_5D6F7903FE991DBA96205718DE_1|负责特种设备安全监督管理的部门的安全监察人员未熟悉相关法律、法规，具有相应的专业知识和工作经验等
H_5D6F7903FE991DBA96205718DE_2|特种设备安全监察人员未忠于职守、坚持原则、秉公执法
H_5DEC9BD2A03F0399F6D378AFC2_1|负责特种设备安全监督管理的部门实施安全监督检查时，未有二名以上特种设备安全监察人员参加等
H_5DEC9BD2A03F0399F6D378AFC2_2|生产经营单位的从业人员有依法获得安全生产保障的权利，并未依法履行安全生产方面的义务
H_5E21B5E2A06F24521A73C54C61_1|高危行业、领域生产经营单位未按照有关规定投保安全生产责任保险
H_5E21B5E2A06F24521A73C54C61_2|特殊建设工程未经消防设计审查或者审查不合格的，建设单位、施工单位施工
H_5E36D9ABBA9321D566592E49_1|其他建设工程，建设单位未提供满足施工需要的消防设计图纸及技术资料的，有关部门发放施工许可证或者批准开工报告
H_5FA33B2DFCAD974A3DA96FCF64_1|国务院负责特种设备安全监督管理的部门未依法组织制定特种设备重特大事故应急预案，报国务院批准后纳入国家突发事件应急预案体系
H_6015923EBB2296B0B7B31DD53E_2|特种设备使用单位未制定特种设备事故应急专项预案，并定期进行应急演练
H_6264F21761038D69D893A3F62D_1|生产经营单位未加强安全生产标准化建设，建立健全安全生产管理体系，全面管控生产经营活动各环节的安全风险等
H_6264F21761038D69D893A3F62D_2|负有安全生产监督管理职责的部门未推动生产经营单位开展安全生产标准化建设
H_62CC3ADCD67E185884603108C7_1|职业病诊断，未综合分析下列因素
H_62CC3ADCD67E185884603108C7_2|没有证据否定职业病危害因素与病人临床表现之间的必然联系的，未诊断为职业病
H_62CC3ADCD67E185884603108C7_3|职业病诊断证明书未由参与诊断的取得职业病诊断资格的执业医师签署，并经承担职业病诊断的医疗卫生机构审核盖章
H_6383FA81F7EA567158E6481526_1|总承包单位依法将建设工程的专业工程或者劳务作业分包给其他单位的，分包合同未明确总承包单位和分包单位的安全生产责任等
H_63E77B3CCCDC74EA26BEF12BB3_1|建设工程施工单位通过租赁设备的方式将施工作业或者工程发包给设备租赁单位的，建设工程施工单位未承担安全生产管理职责等
H_6409C243C7C08392D158FA8C97_2|移动式压力容器、气瓶充装单位，未具备下列条件，并经负责特种设备安全监督管理的部门许可等
H_644EEE5EC12221D39672FE26E2_1|充装单位未建立充装前后的检查、记录制度，禁止对不符合安全技术规范要求的移动式压力容器和气瓶进行充装
H_644EEE5EC12221D39672FE26E2_2|气瓶充装单位未向气体使用者提供符合安全技术规范要求的气瓶，对气体使用者进行气瓶安全使用指导等
H_644EEE5EC12221D39672FE26E2_4|新建、扩建、改建建设项目和技术改造、技术引进项目（以下统称建设项目）可能产生职业病危害的
H_65E8F9D66CADAA46DD5012C8F7_2|职业病危害预评价报告未对建设项目可能产生的职业病危害因素及其对工作场所和劳动者健康的影响作出评价等
H_66479FBB0E63039E3BC4F35513_1|生产经营单位使用的危险物品的容器、运输工具，以及涉及人身安全、危险性较大的海洋石油开采特种设备和矿山井下特种设备等
H_667691B4DBBF94E83D6CCD59E1_1|负责特种设备安全监督管理的部门在办理本法规定的许可时，其受理、审查、许可的程序必须公开，并未自受理申请之日起三十日内等
H_66B2A0967E8B4E4BAD7749DF_1|不予许可的，未书面向申请人说明理由
H_66B2A0967E8B4E4BAD7749DF_2|医疗卫生机构发现疑似职业病病人时，未告知劳动者本人并及时通知用人单位
H_66B2A0967E8B4E4BAD7749DF_3|用人单位未及时安排对疑似职业病病人进行诊断
H_67BDDF1CD81325DACD47882FFA_1|在疑似职业病病人诊断或者医学观察期间，解除或者终止与其订立的劳动合同
H_67BDDF1CD81325DACD47882FFA_2|从业人员在作业过程中，未严格落实岗位安全责任，遵守本单位的安全生产规章制度和操作规程，服从管理等
H_6828F7A60461C7CE11F3570FD8_1|生产、储存危险化学品的企业未按照国家标准或者行业标准装备自动控制系统和安全仪表系统，建立安全风险监测预警系统等
H_68B4D4FA3376550BFD0C19FAC7_1|负有安全生产监督管理职责的部门依照有关法律、法规的规定等
H_68B4D4FA3376550BFD0C19FAC7_2|不符合有关法律、法规和国家标准或者行业标准规定的安全生产条件的，批准或者验收通过
H_6938036DBF48E099086E40EBD4_1|对未依法取得批准或者验收合格的单位擅自从事有关活动的，负责行政审批的部门发现或者接到举报后未立即予以取缔，并依法予以处理
H_6B0DC31AD00B0029E467176B09_1|对已经依法取得批准的单位，负责行政审批的部门发现其不再具备安全生产条件的，未撤销原批准
H_6BCEDDB444D6BAACC5394C1ADF_1|消防车、消防艇前往执行火灾扑救或者应急救援任务，在确保安全的前提下，不受行驶速度、行驶路线、行驶方向和指挥信号的限制等
H_6BCEDDB444D6BAACC5394C1ADF_2|交通管理指挥人员未保证消防车、消防艇迅速通行
H_6C54363BB0A5675914959FA4F0_1|赶赴火灾现场或者应急救援现场的消防人员和调集的消防装备、物资，需要铁路、水路或者航空运输的，有关单位未优先运输
H_6D7F0A9C39B2C2523D3C1B01FE_1|对有前款违法行为的机构及其直接责任人员，吊销其相应资质和资格，五年内从事安全评价、认证、检测、检验等工作
H_6DB70C78720377B1C7AA12AE_1|用人单位未依法参加工伤保险
H_6F495345B1F2FB2A217A9E4F4C_2|特种设备检验、检测机构及其检验、检测人员未客观、公正、及时地出具检验、检测报告，并对检验、检测结果和鉴定结论负责
H_6F495345B1F2FB2A217A9E4F4C_3|特种设备检验、检测机构及其检验、检测人员在检验、检测中发现特种设备存在严重事故隐患时，未及时告知相关单位等
H_6FF0963CF0BFB2BA109BAD1FFF_1|监督抽查结果未向社会公布
H_6FF0963CF0BFB2BA109BAD1FFF_2|地铁站、车站、客运码头、医院、商场、农贸市场、文化体育场馆、公园等公共交通设施、公共建筑、公共场所等
H_6FF0963CF0BFB2BA109BAD1FFF_3|业主和物业使用人未提高消防安全防范意识，禁止电动自行车或者其蓄电池进入住宅的电梯和户内
H_71323E2862E5D3955E3DE6DE76_1|使用电动自行车从事快递、外卖等配送活动的企业，未建立内部管理规章制度，加强对配送人员的管理等
H_71323E2862E5D3955E3DE6DE76_2|设置电动自行车集中充电场所和充电设施未符合国家和省、市有关标准和规范，不得占用、堵塞消防车通道、安全出口和疏散通道等
H_717D64929D7914A130061880A1_1|利用民用建筑架空层设置的，未采取有效防火分隔等措施，符合消防安全要求
H_717D64929D7914A130061880A1_2|新建电动汽车停放充电场所未符合国家和省、市有关规定和技术标准
H_717D64929D7914A130061880A1_3|电动自行车、电动汽车集中停放充电场所和充电设施的运营主体未落实消防安全管理主体责任，制定消防安全制度、操作规程等
H_71CDB1DA603112EE29A7C7C996_1|特种设备存在严重事故隐患，无改造、修理价值，或者达到安全技术规范规定的其他报废条件的
H_71F876EA935D4E2F7A2BCB3A60_1|前款规定报废条件以外的特种设备，达到设计使用年限可以继续使用的，未按照安全技术规范的要求通过检验或者安全评估等
H_71F876EA935D4E2F7A2BCB3A60_2|允许继续使用的，未采取加强检验、检测和维护保养等措施，确保使用安全
H_720BA224F29475112F22D933B2_1|电梯投入使用后，电梯制造单位未对其制造的电梯的安全运行情况进行跟踪调查和了解等
H_720BA224F29475112F22D933B2_2|发现电梯存在严重事故隐患时，未及时告知电梯使用单位，并向负责特种设备安全监督管理的部门报告
H_72873B4521A6E3C1ED03ED746C_1|电梯制造单位对调查和了解的情况，未作出记录
H_72873B4521A6E3C1ED03ED746C_2|工会组织未督促并协助用人单位开展职业卫生宣传教育和培训，有权对用人单位的职业病防治工作提出意见和建议等
